process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,3.075000e+02,1.000000e+02,5.257981e-01,2.026504e-03,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,3.075000e+02,1.000000e+02,4.757126e-01,1.604092e-03,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,3.075000e+02,1.000000e+02,2.243874e-01,7.411873e-04,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,3.075000e+02,1.000000e+02,1.992257e-01,6.427210e-04,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,3.075000e+02,1.000000e+02,1.627935e-03,6.356900e-06,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,3.075000e+02,1.000000e+02,1.518717e-03,5.930444e-06,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
