proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8060,7587,2992,2035
2,10000,8103,7661,3128,2119
3,10000,8616,8250,2918,1620
4,10000,8616,8173,2880,1563
5,10000,8861,8578,2787,2085
6,10000,8910,8613,2774,2082
