cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.837609,0.000069,31.168564,207.790426
II,0.795567,0.000066,29.604109,197.360724
III,0.290883,0.000024,10.824150,72.160997
IV,0.177053,0.000015,6.588387,43.922579
