proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8094,7647,2902,2005
2,10000,8123,7664,3028,2094
3,10000,8549,8154,2829,1538
4,10000,8597,8198,2916,1603
5,10000,8892,8520,2941,2182
6,10000,8845,8499,2949,2183
