process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,1592.000683,10613.337885
pass_cut_i_bjet,795,813,858,866,896,906,1325.471120,8836.474133
pass_cut_ii_met,752,767,820,826,852,853,1259.091770,8393.945135
pass_cut_iii_same_sign_dilepton,287,317,299,289,285,291,474.096373,3160.642486
pass_cut_iv_mll,197,227,177,156,212,216,301.309941,2008.732939
pass_cut_i_bjet_frac,0.795000,0.813000,0.858000,0.866000,0.896000,0.906000,0.832582,0.832582
pass_cut_ii_met_frac,0.752000,0.767000,0.820000,0.826000,0.852000,0.853000,0.790886,0.790886
pass_cut_iii_same_sign_dilepton_frac,0.287000,0.317000,0.299000,0.289000,0.285000,0.291000,0.297799,0.297799
pass_cut_iv_mll_frac,0.197000,0.227000,0.177000,0.156000,0.212000,0.216000,0.189265,0.189265
