process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,154.586560,1030.577067
pass_cut_i_bjet,800,827,845,849,887,886,130.914793,872.765289
pass_cut_ii_met,752,773,803,821,850,842,125.441967,836.279780
pass_cut_iii_same_sign_dilepton,306,309,279,300,303,295,44.662561,297.750407
pass_cut_iv_mll,201,222,138,139,215,212,21.411461,142.743076
pass_cut_i_bjet_frac,0.800000,0.827000,0.845000,0.849000,0.887000,0.886000,0.846870,0.846870
pass_cut_ii_met_frac,0.752000,0.773000,0.803000,0.821000,0.850000,0.842000,0.811467,0.811467
pass_cut_iii_same_sign_dilepton_frac,0.306000,0.309000,0.279000,0.300000,0.303000,0.295000,0.288916,0.288916
pass_cut_iv_mll_frac,0.201000,0.222000,0.138000,0.139000,0.215000,0.212000,0.138508,0.138508
