cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.852930,0.000001,0.566666,3.777776
II,0.813336,0.000001,0.540361,3.602407
III,0.290089,0.000000,0.192728,1.284854
IV,0.159364,0.000000,0.105878,0.705851
