cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.842054,0.000459,206.489001,1376.593338
II,0.797047,0.000434,195.452305,1303.015369
III,0.278424,0.000152,68.275410,455.169399
IV,0.130989,0.000071,32.121205,214.141367
