proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8031,7579,3028,1980
2,10000,8066,7562,2995,1947
3,10000,8451,8000,2830,1306
4,10000,8405,7930,2926,1344
5,10000,8748,8285,2919,1932
6,10000,8707,8195,2804,1876
