proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8003,7551,2909,1981
2,10000,8090,7621,3043,2038
3,10000,8557,8163,2885,1613
4,10000,8625,8231,2844,1594
5,10000,8886,8548,2788,2099
6,10000,8868,8545,2818,2138
