proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8006,7542,2927,1948
2,10000,8022,7542,3106,1989
3,10000,8479,8036,2868,1361
4,10000,8434,7975,2879,1354
5,10000,8756,8304,2909,1981
6,10000,8719,8279,2954,1930
