cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.845730,0.000782,351.959854,2346.399028
II,0.800668,0.000740,333.206620,2221.377469
III,0.287333,0.000266,119.576538,797.176920
IV,0.135808,0.000126,56.517945,376.786302
