proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8064,7584,2915,1968
2,10000,8097,7636,3124,2042
3,10000,8582,8160,2906,1383
4,10000,8562,8104,2855,1317
5,10000,8812,8360,2986,2056
6,10000,8810,8373,2946,2024
