cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.811984,4.450298,2002634.146446,13350894.309639
II,0.764750,4.191421,1886139.455783,12574263.038556
III,0.289056,1.584252,712913.437436,4752756.249576
IV,0.152135,0.833817,375217.672874,2501451.152493
