cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.830227,1.995105,897797.228624,5985314.857492
II,0.782469,1.880340,846152.856521,5641019.043476
III,0.296851,0.713357,321010.493681,2140069.957876
IV,0.178851,0.429795,193407.573192,1289383.821283
