cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.850978,0.000355,159.564735,1063.764900
II,0.807745,0.000337,151.458135,1009.720900
III,0.287965,0.000120,53.995682,359.971214
IV,0.139741,0.000058,26.202460,174.683068
