process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,1124.899846,7499.332304
pass_cut_i_bjet,808,819,858,843,889,897,956.967301,6379.782005
pass_cut_ii_met,768,780,824,802,853,856,914.979435,6099.862899
pass_cut_iii_same_sign_dilepton,285,331,325,297,322,273,350.647821,2337.652139
pass_cut_iv_mll,187,208,172,163,235,199,188.850943,1259.006284
pass_cut_i_bjet_frac,0.808000,0.819000,0.858000,0.843000,0.889000,0.897000,0.850713,0.850713
pass_cut_ii_met_frac,0.768000,0.780000,0.824000,0.802000,0.853000,0.856000,0.813387,0.813387
pass_cut_iii_same_sign_dilepton_frac,0.285000,0.331000,0.325000,0.297000,0.322000,0.273000,0.311715,0.311715
pass_cut_iv_mll_frac,0.187000,0.208000,0.172000,0.163000,0.235000,0.199000,0.167882,0.167882
