process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,3.000000e+02,1.200000e+00,9.401629e-08,2.972672e-10,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,3.000000e+02,1.200000e+00,8.514224e-08,2.759800e-10,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,3.000000e+02,1.200000e+00,1.627268e-04,5.072047e-07,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,3.000000e+02,1.200000e+00,1.464143e-04,4.645896e-07,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,3.000000e+02,1.200000e+00,6.262691e-10,2.183794e-12,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,3.000000e+02,1.200000e+00,5.842206e-10,2.059484e-12,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
