process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,2.225000e+02,1.000000e-01,9.616374e-05,3.548897e-07,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,2.225000e+02,1.000000e-01,8.799457e-05,2.864066e-07,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,2.225000e+02,1.000000e-01,9.166061e-03,2.484767e-05,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,2.225000e+02,1.000000e-01,8.335789e-03,2.591578e-05,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,2.225000e+02,1.000000e-01,1.476480e-06,4.479021e-09,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,2.225000e+02,1.000000e-01,1.377443e-06,4.178557e-09,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
