cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.850928,0.000377,169.555637,1130.370912
II,0.805659,0.000357,160.535316,1070.235443
III,0.280100,0.000124,55.812582,372.083880
IV,0.139459,0.000062,27.788598,185.257322
