cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.849603,0.001238,557.019828,3713.465522
II,0.802590,0.001169,526.197003,3507.980017
III,0.280642,0.000409,183.995397,1226.635977
IV,0.168386,0.000245,110.397529,735.983524
