proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8039,7593,2979,1869
2,10000,8190,7719,3088,1930
3,10000,8290,7789,2693,1229
4,10000,8410,7923,2851,1287
5,10000,8658,8197,2820,1813
6,10000,8645,8204,2876,1861
