cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.087560,0.001476,664.206606,4428.044042
II,0.083790,0.001412,635.608400,4237.389337
III,0.031080,0.000524,235.764519,1571.763463
IV,0.018180,0.000306,137.908590,919.390597
