process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,1319.319396,8795.462643
pass_cut_i_bjet,826,830,877,868,882,879,1138.755309,7591.702063
pass_cut_ii_met,786,781,856,847,871,868,1104.414681,7362.764542
pass_cut_iii_same_sign_dilepton,273,267,237,247,190,193,326.872410,2179.149403
pass_cut_iv_mll,225,209,182,172,164,181,245.576196,1637.174643
pass_cut_i_bjet_frac,0.826000,0.830000,0.877000,0.868000,0.882000,0.879000,0.863138,0.863138
pass_cut_ii_met_frac,0.786000,0.781000,0.856000,0.847000,0.871000,0.868000,0.837109,0.837109
pass_cut_iii_same_sign_dilepton_frac,0.273000,0.267000,0.237000,0.247000,0.190000,0.193000,0.247758,0.247758
pass_cut_iv_mll_frac,0.225000,0.209000,0.182000,0.172000,0.164000,0.181000,0.186139,0.186139
