mass,tanphi,width,total width/mass,primary decay channel,primary decay branching,second decay channel,second decay branching,third decay channel,third decay branching,fourth decay channel,fourth decay branching
9.092105e+02,1.945888e-02,2.369084e+02,0.260564962679,t c~,4.631468e-01,c t~,4.631468e-01,c c~,3.229823e-02,t u~,2.017994e-02
9.092105e+02,2.714418e-02,1.217751e+02,0.133934990852,t c~,4.633761e-01,c t~,4.633761e-01,c c~,3.229114e-02,t u~,2.018993e-02
9.092105e+02,3.786479e-02,6.263279e+01,0.0688870069142,c t~,4.636364e-01,t c~,4.636364e-01,c c~,3.226440e-02,t u~,2.020127e-02
9.092105e+02,5.281952e-02,3.228810e+01,0.035512238365,t c~,4.634410e-01,c t~,4.634410e-01,c c~,3.216377e-02,t u~,2.019276e-02
9.092105e+02,7.368063e-02,1.678888e+01,0.0184653388847,t c~,4.604477e-01,c t~,4.604477e-01,c c~,3.178879e-02,t u~,2.006233e-02
9.092105e+02,1.027809e-01,9.008686e+00,0.00990825116956,t c~,4.454995e-01,c t~,4.454995e-01,t t~,3.973321e-02,c c~,3.044554e-02
9.092105e+02,1.433742e-01,5.370279e+00,0.00590652989599,t c~,3.916886e-01,c t~,3.916886e-01,t t~,1.562426e-01,c c~,2.624738e-02
9.092105e+02,2.000000e-01,4.200719e+00,0.00462018311491,t t~,4.250026e-01,c t~,2.672324e-01,t c~,2.672324e-01,c c~,1.724528e-02
9.394737e+02,1.000000e-02,9.310643e+02,0.991048818078,t c~,4.629934e-01,c t~,4.629934e-01,c c~,3.215400e-02,t u~,2.017324e-02
9.394737e+02,1.394951e-02,4.784854e+02,0.509312181916,t c~,4.630736e-01,c t~,4.630736e-01,c c~,3.215350e-02,t u~,2.017673e-02
9.394737e+02,1.945888e-02,2.459102e+02,0.261753149662,t c~,4.632167e-01,c t~,4.632167e-01,c c~,3.215163e-02,u t~,2.018297e-02
9.394737e+02,2.714418e-02,1.264022e+02,0.134545756842,t c~,4.634462e-01,c t~,4.634462e-01,c c~,3.214457e-02,t u~,2.019297e-02
9.394737e+02,3.786479e-02,6.501262e+01,0.0692011069602,c t~,4.637066e-01,t c~,4.637066e-01,c c~,3.211796e-02,t u~,2.020431e-02
9.394737e+02,5.281952e-02,3.351497e+01,0.0356741971595,t c~,4.635108e-01,c t~,4.635108e-01,c c~,3.201777e-02,t u~,2.019578e-02
9.394737e+02,7.368063e-02,1.742691e+01,0.0185496517891,t c~,4.605144e-01,c t~,4.605144e-01,c c~,3.164431e-02,t u~,2.006523e-02
9.394737e+02,1.027809e-01,9.351276e+00,0.00995373899237,t c~,4.455531e-01,c t~,4.455531e-01,t t~,3.976051e-02,c c~,3.030642e-02
9.394737e+02,1.433742e-01,5.574983e+00,0.0059341554745,t c~,3.917021e-01,c t~,3.917021e-01,t t~,1.563365e-01,c c~,2.612520e-02
9.394737e+02,2.000000e-01,4.361689e+00,0.00464269409564,t t~,4.251754e-01,c t~,2.671896e-01,t c~,2.671896e-01,c c~,1.716167e-02
9.697368e+02,1.000000e-02,9.650262e+02,0.995142393276,c t~,4.630563e-01,t c~,4.630563e-01,c c~,3.202174e-02,u t~,2.017597e-02
9.697368e+02,1.394951e-02,4.959388e+02,0.511415881093,t c~,4.631366e-01,c t~,4.631366e-01,c c~,3.202125e-02,t u~,2.017946e-02
9.697368e+02,1.945888e-02,2.548801e+02,0.262834307206,t c~,4.632798e-01,c t~,4.632798e-01,c c~,3.201938e-02,u t~,2.018570e-02
9.697368e+02,2.714418e-02,1.310128e+02,0.13510140071,c t~,4.635093e-01,t c~,4.635093e-01,c c~,3.201236e-02,t u~,2.019570e-02
9.697368e+02,3.786479e-02,6.738401e+01,0.0694869061378,t c~,4.637699e-01,c t~,4.637699e-01,c c~,3.198587e-02,t u~,2.020706e-02
9.697368e+02,5.281952e-02,3.473748e+01,0.0358215548796,c t~,4.635737e-01,t c~,4.635737e-01,c c~,3.188606e-02,t u~,2.019851e-02
9.697368e+02,7.368063e-02,1.806267e+01,0.0186263633596,t c~,4.605748e-01,c t~,4.605748e-01,c c~,3.151399e-02,t u~,2.006784e-02
9.697368e+02,1.027809e-01,9.692629e+00,0.00999511310698,t c~,4.456021e-01,c t~,4.456021e-01,t t~,3.978382e-02,c c~,3.018097e-02
9.697368e+02,1.433742e-01,5.778912e+00,0.00595925822347,t c~,3.917164e-01,c t~,3.917164e-01,t t~,1.564167e-01,c c~,2.601516e-02
9.697368e+02,2.000000e-01,4.521988e+00,0.00466310858781,t t~,4.253228e-01,c t~,2.671550e-01,t c~,2.671550e-01,c c~,1.708654e-02
1.000000e+03,1.000000e-02,9.988775e+02,0.9988775,t c~,4.631133e-01,c t~,4.631133e-01,c c~,3.190201e-02,u t~,2.017844e-02
1.000000e+03,1.394951e-02,5.133353e+02,0.5133353,t c~,4.631936e-01,c t~,4.631936e-01,c c~,3.190152e-02,u t~,2.018193e-02
1.000000e+03,1.945888e-02,2.638207e+02,0.2638207,t c~,4.633369e-01,c t~,4.633369e-01,c c~,3.189967e-02,t u~,2.018818e-02
1.000000e+03,2.714418e-02,1.356085e+02,0.1356085,t c~,4.635666e-01,c t~,4.635666e-01,c c~,3.189268e-02,t u~,2.019818e-02
1.000000e+03,3.786479e-02,6.974768e+01,0.06974768,t c~,4.638272e-01,c t~,4.638272e-01,c c~,3.186628e-02,t u~,2.020954e-02
1.000000e+03,5.281952e-02,3.595601e+01,0.03595601,t c~,4.636307e-01,c t~,4.636307e-01,c c~,3.176684e-02,t u~,2.020098e-02
1.000000e+03,7.368063e-02,1.869635e+01,0.01869635,t c~,4.606295e-01,c t~,4.606295e-01,c c~,3.139603e-02,t u~,2.007021e-02
1.000000e+03,1.027809e-01,1.003285e+01,0.01003285,t c~,4.456469e-01,c t~,4.456469e-01,t t~,3.980385e-02,c c~,3.006745e-02
1.000000e+03,1.433742e-01,5.982137e+00,0.005982137,t c~,3.917311e-01,c t~,3.917311e-01,t t~,1.564856e-01,c c~,2.591567e-02
1.000000e+03,2.000000e-01,4.681680e+00,0.00468168,t t~,4.254493e-01,c t~,2.671269e-01,t c~,2.671269e-01,c c~,1.701876e-02
