mass,tanphi_low,tanphi_high
200,0.010071723637,
216.3265,0.0130754798861,84.8710449155
232.6531,0.0156114544043,68.8839251504
248.9796,0.0176902933648,59.6770288658
265.3061,0.0194324755652,53.8154213012
281.6327,0.0208823410895,48.9195505609
297.9592,0.0221611065187,42.9013864653
314.2857,0.0231421169966,33.5515169427
330.6122,0.0241123905097,20.5501055506
346.9388,0.0248691419539,3.62277396075
363.2653,0.0255106327922,2.30837078415
379.5918,0.0261567231773,2.01515025315
395.9184,0.0266895347809,1.86159996282
412.2449,0.0271351907108,1.76394756772
428.5714,0.0275124708125,1.69628835992
444.898,0.0278383153133,1.64534838774
461.2245,0.0282066741513,1.60458841607
477.551,0.0285272531834,1.57253914209
493.8776,0.028808256775,1.54666171457
510.2041,0.0290561599121,1.5253289111
526.5306,0.0292761349661,1.5062280245
542.8571,0.0294723564536,1.48954324413
559.1837,0.0296482298162,1.47519598851
575.5102,0.0298065557332,1.46273649557
591.8367,0.029949657555,1.45182337683
608.1633,0.0300794831096,1.44219317427
624.4898,0.0301976679502,1.43363909655
640.8163,0.0303055967131,1.42599626876
657.1429,0.0304044533348,1.4191317278
673.4694,0.0304952519649,1.41293733319
689.7959,0.0305918461408,1.40732348191
706.1224,0.0306938930184,1.4022159788
722.449,0.0307883058074,1.39755251837
738.7755,0.0308758420096,1.39328061017
755.102,0.030957168599,1.38935545037
771.4286,0.0310328701844,1.3857388171
787.7551,0.0311034639935,1.38215462976
804.0816,0.0311694048523,1.37875833676
820.4082,0.0312311038217,1.37560606955
836.7347,0.0312889231305,1.37267405858
853.0612,0.0313431821139,1.36994152016
869.3878,0.0313941779443,1.36739004342
885.7143,0.0314421668471,1.3650034361
902.0408,0.0314873849394,1.36276723027
918.3673,0.0315300453751,1.36066872219
934.6939,0.0315703403617,1.35869646325
951.0204,0.0316084449728,1.35684015065
967.3469,0.0316445158107,1.35509076633
983.6735,0.0316786940001,1.35343942421
1000,0.0317111159422,1.3518796432
