proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8058,7565,2990,2051
2,10000,8119,7647,3112,2114
3,10000,8455,7991,2738,1358
4,10000,8523,8107,2928,1473
5,10000,8862,8444,2937,2010
6,10000,8808,8426,2929,2054
