cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.840874,0.000585,263.092008,1753.946719
II,0.793905,0.000552,248.396441,1655.976272
III,0.276997,0.000193,86.666566,577.777105
IV,0.130197,0.000091,40.735994,271.573295
