cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.854725,0.000480,216.164644,1441.097629
II,0.813887,0.000457,205.836498,1372.243319
III,0.293079,0.000165,74.121277,494.141844
IV,0.154688,0.000087,39.121349,260.808997
