cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.851964,0.001722,774.678063,5164.520422
II,0.808197,0.001633,734.881869,4899.212462
III,0.286161,0.000578,260.202342,1734.682279
IV,0.143967,0.000291,130.906637,872.710911
