cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.867799,0.002314,1041.195918,6941.306117
II,0.839743,0.002239,1007.534022,6716.893479
III,0.252627,0.000674,303.105272,2020.701816
IV,0.186596,0.000498,223.879972,1492.533145
