proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8096,7617,3021,2140
2,10000,8113,7612,3015,2136
3,10000,8535,8131,2846,1518
4,10000,8597,8191,2909,1545
5,10000,8793,8417,2843,2087
6,10000,8850,8459,2984,2179
