cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.847744,0.000379,170.335249,1135.568327
II,0.805653,0.000360,161.878026,1079.186842
III,0.290276,0.000130,58.324498,388.829989
IV,0.164554,0.000073,33.063486,220.423241
