cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.827614,0.000213,96.056154,640.374362
II,0.783888,0.000202,90.981110,606.540731
III,0.300494,0.000078,34.876476,232.509843
IV,0.196311,0.000051,22.784593,151.897289
