process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,2.225000e+02,1.000000e+02,9.291243e-01,3.015681e-03,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,2.225000e+02,1.000000e+02,8.485353e-01,2.455692e-03,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,2.225000e+02,1.000000e+02,9.803478e-01,3.254505e-03,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,2.225000e+02,1.000000e+02,8.854097e-01,3.004983e-03,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,2.225000e+02,1.000000e+02,1.981262e-02,7.504485e-05,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,2.225000e+02,1.000000e+02,1.848345e-02,7.001053e-05,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
