proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8018,7573,2995,1924
2,10000,8068,7556,3137,2015
3,10000,8483,8004,2820,1381
4,10000,8429,7970,2838,1369
5,10000,8695,8312,2862,2041
6,10000,8742,8308,2868,2005
