cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.847333,0.000307,138.341324,922.275490
II,0.803800,0.000292,131.233838,874.892255
III,0.290543,0.000105,47.435964,316.239757
IV,0.140642,0.000051,22.962247,153.081648
