cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.841528,0.000202,90.912993,606.086617
II,0.800357,0.000192,86.465137,576.434244
III,0.291428,0.000070,31.483958,209.893056
IV,0.172716,0.000041,18.659114,124.394094
