proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8048,7577,2948,2078
2,10000,8130,7721,3011,2084
3,10000,8574,8209,2863,1649
4,10000,8642,8259,2855,1624
5,10000,8939,8614,2807,2183
6,10000,8993,8696,2833,2151
