cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.851075,0.000287,129.007906,860.052710
II,0.805122,0.000271,122.042146,813.614310
III,0.281261,0.000095,42.634208,284.228050
IV,0.140767,0.000047,21.337776,142.251842
