process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,3.500000e+02,1.000000e+02,4.036115e-01,1.499903e-03,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,3.500000e+02,1.000000e+02,3.651108e-01,1.205475e-03,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,3.500000e+02,1.000000e+02,5.325976e-05,1.985923e-07,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,3.500000e+02,1.000000e+02,4.400906e-05,1.590643e-07,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,3.500000e+02,1.000000e+02,3.425562e-10,8.831411e-13,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,3.500000e+02,1.000000e+02,3.195770e-10,8.238987e-13,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
