proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8033,7570,2884,2006
2,10000,8141,7685,3062,2136
3,10000,8577,8350,2282,1556
4,10000,8572,8333,2341,1626
5,10000,8736,8654,1237,1086
6,10000,8619,8538,1231,1103
