proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8086,7633,2959,2042
2,10000,8118,7692,3090,2120
3,10000,8582,8191,2888,1546
4,10000,8568,8161,2887,1540
5,10000,8869,8492,3014,2217
6,10000,8890,8484,2896,2057
