process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,582.913516,3886.090109
pass_cut_i_bjet,816,849,871,869,907,881,506.570102,3377.134012
pass_cut_ii_met,768,809,834,850,893,867,489.618914,3264.126093
pass_cut_iii_same_sign_dilepton,273,321,281,291,246,237,166.651215,1111.008100
pass_cut_iv_mll,215,262,191,201,205,200,114.685875,764.572501
pass_cut_i_bjet_frac,0.816000,0.849000,0.871000,0.869000,0.907000,0.881000,0.869031,0.869031
pass_cut_ii_met_frac,0.768000,0.809000,0.834000,0.850000,0.893000,0.867000,0.839951,0.839951
pass_cut_iii_same_sign_dilepton_frac,0.273000,0.321000,0.281000,0.291000,0.246000,0.237000,0.285894,0.285894
pass_cut_iv_mll_frac,0.215000,0.262000,0.191000,0.201000,0.205000,0.200000,0.196746,0.196746
