cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.836683,0.014800,6659.987155,44399.914366
II,0.793343,0.014033,6315.003617,42100.024114
III,0.277643,0.004911,2210.037855,14733.585702
IV,0.128242,0.002268,1020.804356,6805.362374
