proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8014,7533,3000,1871
2,10000,8150,7634,3121,1965
3,10000,8366,7929,2803,1279
4,10000,8374,7946,2741,1272
5,10000,8668,8190,2800,1804
6,10000,8669,8198,2780,1837
