cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.848192,0.010545,4745.461739,31636.411594
II,0.803471,0.009989,4495.255879,29968.372529
III,0.282797,0.003516,1582.193728,10547.958188
IV,0.137728,0.001712,770.560975,5137.073165
