process,mass,tanphi,cross section pb,cross section error pb,N events (generated),description
1,3.480000e+02,4.000000e-02,1.608007e-03,5.200917e-06,10000,"p p > t t, (t > b w+, w+ > l+ vl), (t > b w+, w+ > l+ vl)"
2,3.480000e+02,4.000000e-02,1.449735e-03,4.629177e-06,10000,"p p > t~ t~, (t~ > b~ w-, w- > l- vl~), (t~ > b~ w-, w- > l- vl~)"
3,3.480000e+02,4.000000e-02,4.071751e-05,1.310229e-07,10000,"p p > h3 t, (h3 > t c~, (t > b w+, w+ > l+ vl)), (t > b w+, w+ > l+ vl)"
4,3.480000e+02,4.000000e-02,3.512831e-05,1.034868e-07,10000,"p p > h3 t~, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (t~ > b~w-, w- > l- vl~)"
5,3.480000e+02,4.000000e-02,1.077407e-10,4.203886e-13,10000,"p p > h3 h3, (h3 > t c~, (t > b w+, w+ > l+ vl)), (h3 > t c~,(t > b w+, w+ > l+ vl))"
6,3.480000e+02,4.000000e-02,1.014500e-10,2.848369e-13,10000,"p p > h3 h3, (h3 > t~ c, (t~ > b~ w-, w- > l- vl~)), (h3 > t~c, (t~ > b~ w-, w- > l- vl~))"
