cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.868129,0.808341,363753.284535,2425021.896900
II,0.819797,0.763338,343502.059027,2290013.726850
III,0.240423,0.223865,100739.308230,671595.388200
IV,0.127546,0.118762,53442.751297,356285.008650
