proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,20,16,15,4,2
2,20,18,17,4,3
3,20,17,17,6,4
4,20,18,16,4,1
5,20,18,15,4,3
6,20,18,18,4,3
