proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8021,7527,2873,1951
2,10000,8108,7597,3076,2105
3,10000,8486,8084,2942,1457
4,10000,8478,8067,2935,1436
5,10000,8811,8407,2973,2022
6,10000,8802,8376,2969,2052
