cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.832365,0.000018,7.890017,52.600113
II,0.790377,0.000017,7.492014,49.946760
III,0.292305,0.000006,2.770770,18.471800
IV,0.183943,0.000004,1.743601,11.624004
