proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,8126,7663,2980,2103
2,10000,8123,7682,3042,2085
3,10000,8487,8087,2837,1584
4,10000,8610,8245,2816,1525
5,10000,8909,8592,2857,2179
6,10000,8843,8547,2801,2094
