evaluation_index,mass,tanphi,integrated_luminosity_in_fb,number_of_events_per_process,final_signal_yield,final_background_yield,final_asimov_significance,generated_signal_point_directory,significance_output_path,reused_existing_generated_signal_point,reran_generator_and_compressor,reran_cuts
1,180,0.9,450,1000,26.961355,1385.299095,0.722055,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.9,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.9/significance.txt,False,True,True
2,180,0.45,450,1000,28.027481,1385.299095,0.750512,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.45,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.45/significance.txt,False,True,True
3,180,0.225,450,1000,72.906179,1385.299095,1.941996,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.225,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.225/significance.txt,False,True,True
4,180,0.318198051534,450,1000,38.960235,1385.299095,1.041917,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.318198051534,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.318198051534/significance.txt,False,True,True
5,180,0.267571600876,450,1000,56.313007,1385.299095,1.502912,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.267571600876,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.267571600876/significance.txt,False,True,True
6,180,0.24536423985,450,1000,62.870439,1385.299095,1.676634,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.24536423985,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-180-tanphi-0.24536423985/significance.txt,False,True,True
