evaluation_index,mass,tanphi,integrated_luminosity_in_fb,number_of_events_per_process,final_signal_yield,final_background_yield,final_asimov_significance,generated_signal_point_directory,significance_output_path,reused_existing_generated_signal_point,reran_generator_and_compressor,reran_cuts
1,260,3.47,450,1000,108.853037,1385.299095,2.887516,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-260-tanphi-3.47,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-260-tanphi-3.47/significance.txt,False,True,True
2,260,1.735,450,1000,38.945168,1385.299095,1.041515,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-260-tanphi-1.735,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-260-tanphi-1.735/significance.txt,False,True,True
3,260,2.45366053072,450,1000,61.115155,1385.299095,1.630158,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-260-tanphi-2.45366053072,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-260-tanphi-2.45366053072/significance.txt,False,True,True
