evaluation_index,mass,tanphi,integrated_luminosity_in_fb,number_of_events_per_process,final_signal_yield,final_background_yield,final_asimov_significance,generated_signal_point_directory,significance_output_path,reused_existing_generated_signal_point,reran_generator_and_compressor,reran_cuts
1,580,0.1414,450,1000,48.126720,1385.299095,1.285667,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-580-tanphi-0.1414,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-580-tanphi-0.1414/significance.txt,False,True,True
2,580,0.0707,450,1000,225.518024,1385.299095,5.904962,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-580-tanphi-0.0707,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-580-tanphi-0.0707/significance.txt,False,True,True
3,580,0.0999848988598,450,1000,116.366219,1385.299095,3.084170,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-580-tanphi-0.0999848988598,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-580-tanphi-0.0999848988598/significance.txt,False,True,True
4,580,0.118902753117,450,1000,75.474005,1385.299095,2.009795,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-580-tanphi-0.118902753117,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-580-tanphi-0.118902753117/significance.txt,False,True,True
5,580,0.129664371709,450,1000,64.556229,1385.299095,1.721252,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-580-tanphi-0.129664371709,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-580-tanphi-0.129664371709/significance.txt,False,True,True
