evaluation_index,mass,tanphi,integrated_luminosity_in_fb,number_of_events_per_process,final_signal_yield,final_background_yield,final_asimov_significance,generated_signal_point_directory,significance_output_path,reused_existing_generated_signal_point,reran_generator_and_compressor,reran_cuts
1,940,0.062,450,1000,54.186898,1385.299095,1.446530,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-940-tanphi-0.062,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-940-tanphi-0.062/significance.txt,False,True,True
2,940,0.031,450,1000,245.576196,1385.299095,6.416220,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-940-tanphi-0.031,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-940-tanphi-0.031/significance.txt,False,True,True
3,940,0.0438406204336,450,1000,111.794163,1385.299095,2.964538,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-940-tanphi-0.0438406204336,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-940-tanphi-0.0438406204336/significance.txt,False,True,True
4,940,0.0521355777458,450,1000,74.602892,1385.299095,1.986799,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-940-tanphi-0.0521355777458,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-940-tanphi-0.0521355777458/significance.txt,False,True,True
5,940,0.0568542506787,450,1000,61.428194,1385.299095,1.638448,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-940-tanphi-0.0568542506787,/home/patricio/Documents/top-quark-signatures-in-331/exclusion/generated-signal/generated-m-940-tanphi-0.0568542506787/significance.txt,False,True,True
