cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.852103,0.026984,12142.588348,80950.588989
II,0.806923,0.025553,11498.762610,76658.417397
III,0.281624,0.008918,4013.182851,26754.552337
IV,0.135599,0.004294,1932.301187,12882.007915
