cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.855082,0.000627,282.296219,1881.974794
II,0.811555,0.000595,267.926449,1786.176325
III,0.295906,0.000217,97.690323,651.268820
IV,0.149268,0.000110,49.279412,328.529411
