cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.821577,0.000082,36.938067,246.253779
II,0.778535,0.000078,35.002883,233.352551
III,0.301476,0.000030,13.554369,90.362457
IV,0.206542,0.000021,9.286115,61.907431
