proc,total_events,pass_cut_i_bjet,pass_cut_ii_met,pass_cut_iii_same_sign_dilepton,pass_cut_iv_mll
1,10000,7979,7486,2977,1802
2,10000,8041,7546,3071,1815
3,10000,8138,7705,2674,1210
4,10000,8210,7803,2781,1253
5,10000,8261,7864,2705,1650
6,10000,8298,7843,2746,1726
