process,proc_1,proc_2,proc_3,proc_4,proc_5,proc_6,total 450/fb,total 3000/fb
total_events,1000,1000,1000,1000,1000,1000,6304.208036,42028.053572
pass_cut_i_bjet,810,815,850,843,866,887,5335.262751,35568.418337
pass_cut_ii_met,764,771,806,795,826,847,5045.932987,33639.553245
pass_cut_iii_same_sign_dilepton,327,313,269,293,296,286,1770.598588,11803.990583
pass_cut_iv_mll,198,203,123,141,201,199,834.190002,5561.266680
pass_cut_i_bjet_frac,0.810000,0.815000,0.850000,0.843000,0.866000,0.887000,0.846302,0.846302
pass_cut_ii_met_frac,0.764000,0.771000,0.806000,0.795000,0.826000,0.847000,0.800407,0.800407
pass_cut_iii_same_sign_dilepton_frac,0.327000,0.313000,0.269000,0.293000,0.296000,0.286000,0.280860,0.280860
pass_cut_iv_mll_frac,0.198000,0.203000,0.123000,0.141000,0.201000,0.199000,0.132323,0.132323
