cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.846302,0.011856,5335.262751,35568.418337
II,0.800407,0.011213,5045.932987,33639.553245
III,0.280860,0.003935,1770.598588,11803.990583
IV,0.132323,0.001854,834.190002,5561.266680
