cut,efficiency,cross_section_pb,yield_450_fb,yield_3000_fb
I,0.839043,0.000486,218.782156,1458.547708
II,0.795935,0.000461,207.541817,1383.612116
III,0.291176,0.000169,75.924742,506.164948
IV,0.174632,0.000101,45.535683,303.571223
